CSScode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000001,59.19166667,67.025,72.75,90.51666667,97,104.425,108.4333333,100.15,101.7666667,105.8416667,103.675,113.175,115.9222222
E09000002,74.275,75.375,78.94166667,91.40833333,106.0833333,124.475,130.7416667,134.1416667,135.5666667,137.3,143.8333333,156.1333333,157.6333333
E09000003,73.46666667,77.725,81.225,93.275,103.7583333,113.9916667,116.6666667,115.575,112.8166667,113.9583333,119.3666667,127.275,127.6111111
E09000004,76.66666667,77.39166667,81.54166667,93.38333333,104.75,122.85,128.2416667,130.9,128.7333333,131.0583333,139.8416667,150.7416667,151.7666667
E09000005,70.68333333,74.26666667,80.31666667,93.31666667,104.2583333,115.7333333,115.3166667,115.9916667,112.25,114.875,121.45,127.75,127.3
E09000006,73.725,75.625,79.55,93.29166667,103.45,114.7916667,118.3333333,118.9083333,117.0666667,116.5916667,124.9583333,133.5833333,134.4888889
E09000007,72.01666667,76.14166667,86.7,98.275,102.3083333,104.8583333,109.0416667,109.5083333,109.5166667,107.8,108.6166667,111.5,111.1555556
E09000008,74.575,76.79166667,81.175,95.16666667,106.3083333,123.2083333,129,128.2416667,126.625,129.825,136.8083333,144.85,144.8333333
E09000009,73.30833333,77.29166667,81.99166667,97.01666667,106.2833333,115.5166667,117.5,116.4,114.5916667,116.3,122.7583333,127.375,129.2333333
E09000010,76.575,78.34166667,82.76666667,93.18333333,106.15,121.975,125.2666667,125.4833333,124.2416667,125.2833333,134.15,141.4166667,139.9111111
E09000011,72.20833333,74.65,79.83333333,93.975,104.5333333,117.4166667,123.4,122.325,123.8916667,124.55,127.675,134.0166667,136.2333333
E09000012,65.775,69.34166667,79.4,97.24166667,107.9833333,114.5666667,116.9666667,116.025,118.2166667,124.0416667,126.5416667,133.7333333,134.6777778
E09000013,70.825,77.43333333,86.21666667,98.45833333,103.8916667,103.1,103.35,99.06666667,98.16666667,99.45,104.4083333,105.0833333,106.9555556
E09000014,71.6,74.50833333,81.65,95.575,105.425,115.725,122.2416667,120.9833333,119.7666667,122.7333333,126.1083333,130.3,132.4444444
E09000015,75.88333333,78.05,81.76666667,92.34166667,104.5916667,116.175,120.4916667,119.2416667,115.0083333,116.0333333,124.3666667,132.475,130.6222222
E09000016,79.04166667,79.8,81.55,93.35833333,105.0916667,123.0833333,129.8,133.3333333,131.2916667,133.3583333,140.725,151.1083333,153.3555556
E09000017,76.16666667,78.78333333,81.86666667,92.50833333,106.6833333,121.2333333,125.0916667,124.0833333,122.3333333,123.9666667,130.4583333,137.425,137.7333333
E09000018,78.96666667,79.95833333,86.69166667,96.83333333,104.85,115.3166667,119.6333333,118.3333333,119.6666667,122.4333333,126.7083333,131.3666667,136.5777778
E09000019,68.81666667,71.74166667,80.43333333,94.94166667,104.3333333,104.1916667,105.4916667,105.425,102.825,107.525,111.9916667,115.675,114.2
E09000020,69.18333333,76.83333333,85.79166667,98.1,99.14166667,97.16666667,102.3833333,103.8416667,94.525,100.9833333,100.65,110.4416667,101.4888889
E09000021,73.09166667,76.04166667,80.99166667,95.125,102.6083333,113.225,115.3166667,116.4333333,114.1583333,114.8416667,120.2083333,127.05,128.1333333
E09000022,68.9,74.21666667,82.26666667,98.28333333,106.8666667,116.6333333,117.525,115.9166667,115.15,119.7083333,120.9083333,123.8916667,125.8111111
E09000023,66.98333333,70.68333333,76.64166667,92.8,104.325,118.3166667,120.7833333,120.9666667,120.1833333,124.25,128.7083333,133.0583333,135.1111111
E09000024,72.11666667,74.625,81.18333333,98.94166667,107.8416667,117.85,120.675,120.6416667,119.0833333,123.4083333,129.4916667,133.5583333,136.0666667
E09000025,74.66666667,76.51666667,80.1,92.89166667,106.975,125.1083333,130.1833333,129.0833333,130.8583333,133.55,139.4166667,146.375,147.7777778
E09000026,80.58333333,81.80833333,84.55,93.56666667,105.7666667,120.5416667,126.2333333,130.0333333,126.75,130.225,139.7,145.8416667,145.2555556
E09000027,73.25,76.68333333,82.95,97.275,104.3,110.2083333,112.1416667,110.0166667,109.4833333,114.7916667,119.9083333,126.4833333,126.8666667
E09000028,69.88333333,74.05,80.68333333,95.65833333,104.6333333,114.125,115.375,112.75,111.6583333,114.2416667,115.1083333,121.1916667,120.3
E09000029,75.75,77.64166667,81.93333333,94.65,105,118.7833333,122.55,123.3333333,120.9666667,122.9666667,130.775,140.2,140.9555556
E09000030,70.53333333,70.08333333,75.9,93.85833333,103.6083333,112.275,112.7666667,109.6916667,107.625,114.0416667,111.6833333,115.2583333,119.2111111
E09000031,65.21666667,68.13333333,75.075,92.98333333,105.5583333,121.9833333,128.7583333,130.1333333,127.2083333,132.85,141,147.9083333,148.9222222
E09000032,69.73333333,73.91666667,82.59166667,98.30833333,103.4083333,109.9166667,111.575,107.7333333,106.2583333,110.4333333,110.4,114.4416667,113.0333333
E09000033,64.775,71.35833333,80.875,94.48333333,98.78333333,101.9416667,109.025,104.4166667,97.89166667,98.34166667,98.58333333,104.0916667,103.3444444
E12000007,72.1245,75.44491667,81.71016667,95.84883333,105.5321667,116.0495833,119.2130833,118.6169167,117.0085833,120.0605833,124.901,131.5094167,131.4777778
